timestamp,uid,source_ip,source_port,dest_ip,dest_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,label,attack_type,log_id,link_id,device_id,packet_size,anomaly_id,type_id,score,is_genuine,model_used,detected_at
1545404132.353979,CnkuiE1ejnVWSFRkzg,192.168.1.195,48986,185.244.25.235,6667,tcp,-,3.107733,0,0,S0,Malicious,C&C,26,1,8,0,1,1,0.9,True,IoT-23 Labels,1545404132.353979
1545404410.924437,C9PK3i4DqlOcw7lQ68,192.168.1.195,48998,185.244.25.235,6667,tcp,-,3.097488,0,0,S0,Malicious,C&C,49,1,8,0,2,1,0.9,True,IoT-23 Labels,1545404410.924437
1545404418.101866,CGx9J93gyPXjG9lx6c,192.168.1.195,48998,185.244.25.235,6667,tcp,-,0.0,0,0,S0,Malicious,C&C,51,1,8,0,3,1,0.9,True,IoT-23 Labels,1545404418.101866
1545404426.417366,CMPpTV1tD3AWF8wgvf,192.168.1.195,49004,185.244.25.235,6667,tcp,-,3.124484,0,0,S0,Malicious,C&C,53,1,8,0,4,1,0.9,True,IoT-23 Labels,1545404426.417366
1545404433.622016,C2Se4m4k9b9CZkQKGh,192.168.1.195,49004,185.244.25.235,6667,tcp,-,0.0,0,0,S0,Malicious,C&C,55,1,8,0,5,1,0.9,True,IoT-23 Labels,1545404433.622016
1545404436.419172,CgAwrZ3B8zkoGKfKEe,192.168.1.195,49006,185.244.25.235,6667,tcp,-,3.122724,0,0,S0,Malicious,C&C,56,1,8,0,6,1,0.9,True,IoT-23 Labels,1545404436.419172
1545404443.622072,Cxys8E27ffFNzPl3k,192.168.1.195,49006,185.244.25.235,6667,tcp,-,0.0,0,0,S0,Malicious,C&C,58,1,8,0,7,1,0.9,True,IoT-23 Labels,1545404443.622072
1545404446.421228,CdFSQsCVLV7BTAJH5,192.168.1.195,49008,185.244.25.235,6667,tcp,-,3.120734,0,0,S0,Malicious,C&C,59,1,8,0,8,1,0.9,True,IoT-23 Labels,1545404446.421228
1545404453.621892,C77qGg4JnSxKC9FZEj,192.168.1.195,49008,185.244.25.235,6667,tcp,-,0.0,0,0,S0,Malicious,C&C,60,1,8,0,9,1,0.9,True,IoT-23 Labels,1545404453.621892
1545404456.423282,Cmc4LJ3z8Ag9ZwKYhj,192.168.1.195,49010,185.244.25.235,6667,tcp,-,3.118725,0,0,S0,Malicious,C&C,61,1,8,0,10,1,0.9,True,IoT-23 Labels,1545404456.423282
1545404463.621934,CfccBV3pAxX7dpIQm2,192.168.1.195,49010,185.244.25.235,6667,tcp,-,0.0,0,0,S0,Malicious,C&C,62,1,8,0,11,1,0.9,True,IoT-23 Labels,1545404463.621934
1545404466.425338,CYee9y292pdYQE2S2g,192.168.1.195,49012,185.244.25.235,6667,tcp,-,3.116726,0,0,S0,Malicious,C&C,63,1,8,0,12,1,0.9,True,IoT-23 Labels,1545404466.425338
